crime_id,category,month,location_type,latitude,longitude,street_name,outcome_category,outcome_date
116086381,anti-social-behaviour,2024-01,Force,51.515984,-0.118595,On or near Conference/exhibition Centre,,
116087329,anti-social-behaviour,2024-01,Force,51.510345,-0.122502,On or near Theatre/concert Hall,,
116081585,anti-social-behaviour,2024-01,Force,51.515430,-0.122797,On or near Theatre/concert Hall,,
116086919,anti-social-behaviour,2024-01,Force,51.507832,-0.123383,On or near Villiers Street,,
116086895,anti-social-behaviour,2024-01,Force,51.512133,-0.117918,On or near Montreal Place,,
116081040,anti-social-behaviour,2024-01,Force,51.510345,-0.122502,On or near Theatre/concert Hall,,
116086630,anti-social-behaviour,2024-01,Force,51.509044,-0.123247,On or near John Adam Street,,
116086629,anti-social-behaviour,2024-01,Force,51.514621,-0.122802,On or near Dryden Street,,
116086228,anti-social-behaviour,2024-01,Force,51.507415,-0.105835,On or near Supermarket,,
116081035,anti-social-behaviour,2024-01,Force,51.507725,-0.125708,On or near Corner House Street,,
116079794,anti-social-behaviour,2024-01,Force,51.518405,-0.119302,On or near Procter Street,,
116087191,anti-social-behaviour,2024-01,Force,51.518106,-0.116951,On or near Race Track,,
116079745,anti-social-behaviour,2024-01,Force,51.509491,-0.125924,On or near William Iv Street,,
116085398,anti-social-behaviour,2024-01,Force,51.507415,-0.105835,On or near Supermarket,,
116079817,anti-social-behaviour,2024-01,Force,51.507415,-0.105835,On or near Supermarket,,
116076517,anti-social-behaviour,2024-01,Force,51.512133,-0.117918,On or near Montreal Place,,
116085397,anti-social-behaviour,2024-01,Force,51.507415,-0.105835,On or near Supermarket,,
116079816,anti-social-behaviour,2024-01,Force,51.519005,-0.114132,On or near Further/higher Educational Building,,
116079811,anti-social-behaviour,2024-01,Force,51.512059,-0.118929,On or near A301,,
116079260,anti-social-behaviour,2024-01,Force,51.516341,-0.120151,On or near Nightclub,,
116076754,anti-social-behaviour,2024-01,Force,51.519379,-0.102729,On or near Charterhouse Street,,
116081218,anti-social-behaviour,2024-01,Force,51.512408,-0.119910,On or near Catherine Street,,
116082765,anti-social-behaviour,2024-01,Force,51.511022,-0.119880,On or near Strand,,
116078040,anti-social-behaviour,2024-01,Force,51.514064,-0.118890,On or near Kean Street,,
